Rank,Wallet,Points,Wins,Games_Played,Win_Rate_Pct,Checkin_Streak
1,0xa4df87d8940ac70ac8a33db79bb1057238b490e4,517200,122,406,30.0,42
2,0x7b92e59b2de9368e71843f9894ed63bfeebaaee7,466595,133,257,51.8,65
3,0x99d84fe94f93a82c806f05c6bf59f6b1f7fd28dd,234917,151,156,96.8,60
4,0x4cc29ec8fbcc5c15b6a104c9d5882365f342d9a5,184683,118,173,68.2,10
5,0x070441c0f583752ec53efb18903ecef0a53b65d0,156848,138,241,57.3,1
6,0x22faa37821ea08fc44613f0165c7e0f9b1d387e0,110622,101,119,84.9,71
7,0x4dba871eab6b60fa9a9076f03fd979790d38dbf2,107472,100,119,84.0,71
8,0x2c704b06afc45f418eb6ef88ab718a7418821e85,91202,3,8,37.5,39
9,0x06a378f203d09402026dc3b40c8a37313033c11b,83387,101,137,73.7,5
10,0xc08d04e84f9de01f7d3e2b79526f5c0ffbee6d9f,83268,2,3,66.7,71
11,0x026f3292ce2baada77ac4107b74a4afd226bd13a,74502,1,2,50.0,38
12,0x18c79ab5eb79810233fbc748cce4c0a866a379c8,68293,100,102,98.0,37
13,0xab8ecb62d746cbe15a835652522cbadf17fa0bfd,39876,9,21,42.9,2
14,0xeddb6c849ad08abf7e8db346a4e3f78028431cbc,38729,100,106,94.3,72
15,0xef9c07eeef85fa04bd49f15ddac6a85a82c67944,23100,100,101,99.0,38
16,0x24e6d7eca78f48cf61565d585d80f5a940aded56,19068,15,26,57.7,1
17,0xb19cf92a4bb9e77fa99de29ad5566c7b365a262a,10805,1,148,0.7,7
18,0xcf47e38a7c03e6639453776ce69f1c2d50703525,9635,1,1,100.0,61
19,0x415d026b4e1b60ae8e0e80c8c82ddd443bec4038,8678,1,8,12.5,1
20,0xac17c943208ab5c90594135119b5d2e7dd61a752,8625,1,1,100.0,8
21,0x1dcc564f97cc481ecfa6ad5ebe65d5c3837ff6c2,8610,1,1,100.0,2
22,0x9c819eb9a4050a7395aef07694878160a6733ed5,8419,0,1,0.0,5
23,0x6c54932a6d4c30aba9ee61d3073ff13b61bd8477,8264,0,1,0.0,5
24,0x05395a8223dc8d653f9f852da68860534a3d5c51,8103,6,10,60.0,2
25,0xeddc66047c9efa13af96e1e383474fb6802e1581,8010,1,1,100.0,8
26,0x5d65ad384c62b399186e5bef3a979442405a001d,7940,1,1,100.0,16
27,0x04f1873e2c314f41891c0dac0a40a8881e2e2b62,7913,0,1,0.0,16
28,0x2f390d8107f20e99a56f12a17da645fe97fec432,7895,1,1,100.0,8
29,0x19ab07a4da9c07ec459171498d1be221798c1d47,7022,0,1,0.0,1
30,0x30dbd67ebca12d2726e4933688bf5e57a1dd2281,6080,1,1,100.0,1
31,0x102e1a60a174987cccc1c9821072fa8f3f91a345,6005,0,0,0.0,1
32,0xa45df6c9e486bdcd8fef7f7e315cc3a9c787f5cf,5549,9,20,45.0,1
33,0x5b970b965e4321e604c56e3432dae18f2026718f,5411,3,5,60.0,44
34,0x84a7cf163792693aa38394fc92069cd24fc5289f,5079,1,2,50.0,37
35,0xed2fc925b6cf89314e08e781f1f608f43a3af3ec,4924,2,3,66.7,45
36,0xe05690ff4fdc212dcd05d5f5e64d8b7e71e5ce95,4130,0,2,0.0,1
37,0x6efbfc09e8ab4a0056edc6f96df26980084754ed,3519,0,1,0.0,1
38,0xe5ffd028a9c9e477d47be6bfcaab29c49486e63a,3175,0,0,0.0,1
39,0x9a79dc36a4ce501b57ee51575e46423afe6eb07d,3020,0,1,0.0,1
40,0xc5a0d664536c8734fe9219f59dfe73f4c45653a3,2940,2,2,100.0,1
41,0x2bb0f04675cf73cd7fb5c3aba05cb23380193e33,2588,1,2,50.0,1
42,0xd94ade2dbf6dad8078969eeb85d97a35df6bc596,2500,0,0,0.0,1
43,0xede6f5532ef6e2614b7352a6808bf40d566b2b75,2500,0,0,0.0,1
44,0x31fbe17c284699471ab6cfda715badea4688d6b2,2170,0,0,0.0,1
45,0x59fa0fdcd2a31e505237e88e084199a2e4c5a9fb,1770,1,1,100.0,1
46,0xb6b1fa832e713bfd8998197fb7e412965362f8f1,1695,1,2,50.0,1
47,0x918a7bcb5f02e8daef85fc0436520a367a677fe4,1590,1,1,100.0,1
48,0x99506354be2cb5cccc0341cbab32ad8459dd7215,1570,1,1,100.0,1
49,0x95208b2164ba9f8244b3f7231e60eb66214c26b9,1570,1,1,100.0,1
50,0x136e684d8e92b427f5c375c31ecfe779f4546528,1525,1,5,20.0,1
51,0x13828b3c36f3a52ded326eb86ce0c9e65593161c,1519,0,1,0.0,1
52,0xdee696441ed466e362cd6d9f325a9db5ea474b86,1519,0,1,0.0,1
53,0xc4abf2a5b158d75b8ece9b1f14a593247a17482d,1518,0,1,0.0,1
54,0x0345c0f94bfbb60f56340b64cf8b1fe613eaf4f6,1515,0,1,0.0,1
55,0x5b55a93fe4e5d1c4b8a5b1214e4376c5fb9ea242,1515,0,1,0.0,1
56,0x8d2f5ead15a6599171e35bf7b5f6bcebc080eb98,1514,0,1,0.0,1
57,0x855216a770fd7be1e5715880d29796f189f0721e,1511,0,1,0.0,1
58,0xdb80442f58d1ca37cfbe18e63cdc8ffb2499b213,1506,0,1,0.0,1
59,0x480f8553ceb1df6bc6aaa7ed089ce650db00056e,1292,2,5,40.0,1
60,0x66e219df2ab49418efa8afc1de1054cfac1705b4,1170,0,0,0.0,1
61,0xb0286934a79450798b241eddc1c88ab88d390036,1165,0,0,0.0,1
62,0x85cf13e2586414e720b0e4e11dc27470d1c11cf7,1165,0,0,0.0,1
63,0x1e513c4cfc7bae40a75c2d447b32be640412d1a4,1160,0,0,0.0,1
64,0x0bd62225dfafd41b6bd7034a458f5e4b9b6aed56,1155,0,0,0.0,1
65,0xb380ee87f0ab92c45eff66f2d6bf355dd50697a9,1155,0,0,0.0,1
66,0x335fb68e94ad31f552ee0e96e4708ed27080671e,1150,0,0,0.0,1
67,0xa9a4f5b283d21d8215fc669bcfefaba952faffe9,1116,1,4,25.0,1
68,0x372faca597862bb7be03cacdc88a6f87e7950ff1,1104,1,2,50.0,1
69,0x7eb0a796167694236044938dd63afa7d0f8b0117,1075,1,1,100.0,1
70,0x7e637f83ee4b692d49606b05a79a81bc024044ae,1075,1,1,100.0,1
71,0x3667ee30864799f7191467223355c929872b4388,1070,0,0,0.0,1
72,0x185723f0498e98e463a57b318455baa261638251,1070,0,0,0.0,1
73,0x023e2bc6a2ddd8d502dfdf338af85f12ee36c7e7,1065,0,0,0.0,1
74,0xee6882de3ec6d0923430f6b86db12a63695fc215,1060,0,0,0.0,1
75,0x4b44d0b20668afb2377f0cbf3c4dc914162cfc23,1060,0,0,0.0,1
76,0x0d923910e537ea1ee6770d626464ad03f748adb4,1055,0,0,0.0,1
77,0x24a705d656ceb871054a2a88bd513e5086143091,1055,0,0,0.0,1
78,0x40f3ffbbc1cccd0294068b6b77a7ec168b5c010c,1055,0,0,0.0,1
79,0x98d3f4efb900657da6fc1988854b992b19688996,1050,0,0,0.0,1
80,0x423ce4e98cd1a76de32cb7d2868fce0bc296dd5e,1050,0,0,0.0,1
81,0x7b67a29d1e9fd5105bd75968d4df22b6c543a444,1024,0,1,0.0,1
82,0x11c114acf3a6e645561e43df1f0925de9c9fc633,1020,0,0,0.0,1
83,0x096a90f1d1c694c7f603f745fb078bc67fc3662c,1015,0,1,0.0,1
84,0x7895cb90e006f7ffe65330d160b6db6965d6f05e,1012,0,1,0.0,0
85,0xc54a1370607d067503d0c3374d81870a16fce7a9,1011,0,1,0.0,1
86,0x6dd74ed23a28ddf4be30fff8df4db4a30d886fe0,1009,0,1,0.0,0
87,0x0afc6499deac10ef95036a095fab944f2bd002ff,1008,0,1,0.0,0
88,0xe4dd429e454144b63e07508daba51bf7a268eaf2,1005,0,0,0.0,1
89,0x10a54545cb38be87c89eb3b614ffe63771810fe3,1005,0,0,0.0,1
90,0x252ac4f0eead9412782fe0ac089213464dfe0e26,1005,0,0,0.0,1
91,0x5cb26dba85549163f851e19d24413273fb4493ac,1005,0,0,0.0,1
92,0x5e6ebe851629d9d9b6332c38281a57b0b3114441,1005,0,0,0.0,1
93,0x9ade15e8c86251a429118bee28cef5024040643a,732,12,21,57.1,1
94,0x60a46fac75bdf78f5d7b2ce158729b6d6943cfd5,698,6,9,66.7,1
95,0x9c88fb6de0a4dd1a5f4fcbc8d0ee33924ec54bd9,669,2,3,66.7,1
96,0x0d21e0982cd4ada9ddb6d189f0b9da2332702a42,555,0,0,0.0,1
97,0x3a048134dc59579d8c7e724d1c1aa43f75511336,555,0,0,0.0,1
